SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
AABR07001099.2|ENSRNOT00000077781	15.480	16.702	16.194	12.799	14.873	11.259	10.615	14.291	12.945	11.602	13.885
AABR07001100.1|ENSRNOT00000081054	27.734	38.172	31.640	34.147	26.284	28.568	20.536	35.308	31.232	31.177	25.128
AABR07001160.1|ENSRNOT00000048256	0.532	6.881	2.120	4.139	0.376	0.983	0.402	2.073	0.828	0.843	0.000
AABR07001207.1|ENSRNOT00000082710	1.596	2.466	2.232	2.323	1.074	1.297	0.561	0.680	0.661	0.806	0.702
AABR07001210.1|ENSRNOT00000086246	0.178	1.360	1.214	0.516	0.432	0.660	0.065	0.363	0.365	0.271	0.557
AABR07001210.1|ENSRNOT00000086932	0.376	0.000	0.253	0.222	0.350	0.208	0.000	0.000	0.000	0.220	0.431
AABR07001210.1|ENSRNOT00000088504	1.525	1.952	2.583	1.158	0.699	0.770	0.721	0.980	0.812	0.875	1.728
AABR07001233.1|ENSRNOT00000087610	2.373	2.128	2.065	1.515	0.962	1.430	0.350	1.080	1.222	0.684	1.625
AABR07001382.1|ENSRNOT00000025795	0.000	1.740	1.360	0.910	0.000	0.752	0.010	0.794	0.860	0.962	0.029
AABR07001382.1|ENSRNOT00000047472	15.198	14.300	16.089	10.027	10.468	7.374	7.346	10.699	10.684	7.754	9.539
AABR07001382.1|ENSRNOT00000081637	9.291	10.509	11.370	5.449	4.979	3.680	2.532	3.826	4.344	3.189	4.352
AABR07001382.1|ENSRNOT00000084571	17.879	19.840	22.753	10.532	10.538	7.924	6.549	8.844	9.532	6.779	9.425
AABR07001382.1|ENSRNOT00000084712	1.529	0.012	0.625	0.000	1.323	0.000	0.606	0.000	0.000	0.000	0.721
AABR07001382.2|ENSRNOT00000092014	0.000	0.000	0.630	0.021	0.237	0.000	0.000	0.000	0.292	0.272	0.164
AABR07001389.1|ENSRNOT00000083589	4.485	3.048	3.034	3.132	2.186	3.566	1.009	1.465	1.961	1.587	2.727
AABR07001406.1|ENSRNOT00000082714	1.372	1.301	0.000	1.191	3.895	3.577	0.000	0.000	1.103	1.326	2.843
AABR07001406.2|ENSRNOT00000082750	2.435	0.000	0.000	6.187	0.000	2.604	0.000	0.000	4.106	2.329	0.000
AABR07001416.3|ENSRNOT00000086422	0.000	0.000	0.000	0.000	0.274	0.000	0.000	0.348	0.000	0.000	1.328
AABR07001432.1|ENSRNOT00000087728	3.493	5.640	9.534	4.309	3.791	4.496	2.513	7.899	3.884	3.999	3.181
AABR07001435.1|ENSRNOT00000058849	15.139	15.032	18.015	13.329	13.265	13.088	12.713	13.679	15.370	16.978	12.256
AABR07001444.1|ENSRNOT00000086762	0.675	1.325	1.116	0.980	0.925	0.183	0.449	0.592	0.606	1.948	0.190
AABR07001452.1|ENSRNOT00000089088	0.000	0.000	0.379	0.000	0.523	0.000	0.253	0.000	0.000	0.000	0.000
AABR07001477.1|ENSRNOT00000086348	0.045	0.038	0.090	0.079	0.217	0.000	0.030	0.160	0.031	0.161	0.156
AABR07001493.1|ENSRNOT00000090336	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.429	0.000	0.000	0.489
AABR07001497.1|ENSRNOT00000090961	20.689	27.216	24.004	19.540	15.098	21.859	9.696	11.840	12.323	10.798	10.899
AABR07001497.2|ENSRNOT00000089344	0.000	2.728	0.000	0.000	0.000	0.000	1.022	1.407	1.128	2.787	0.000
AABR07001512.1|ENSRNOT00000023387	1.216	3.095	3.004	2.121	0.000	0.746	0.406	1.579	2.244	0.532	2.033
AABR07001518.1|ENSRNOT00000081808	1.569	3.093	5.278	5.797	2.289	2.164	1.068	0.581	0.425	2.753	1.637
